ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Enrollment_Year,Enrollment_Month,Age,Customer_Age,Customer_Tenure,Total_Children,Family_Size,Total_Spending,Total_Purchases,Total_Campaign_Acceptance,Avg_Spending_Per_Purchase,Digital_Engagement,Deal_Dependency,Preferred_Shopping_Channel,Product_Preference,Customer_Activity_Level
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635.0,81.0,546.0,120.5,81.0,88.0,3,8,10,4,7,0,0,0,0,0,0,3,11,1,2012,9,67,57,664,0,1,1551.5,25,1,62.06,15,0.12,Catalog,Wines,High
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11.0,1.0,6.0,2.0,1.0,6.0,2,1,1,2,5,0,0,0,0,0,0,3,11,0,2014,3,70,60,114,2,3,27.0,6,0,4.5,6,0.3333333333333333,Store,Wines,Low
4141,1965,Graduation,Married,71613.0,0,0,2013-08-21,26,426.0,49.0,127.0,111.0,21.0,42.0,1,8,2,10,4,0,0,0,0,0,0,3,11,0,2013,8,59,49,313,0,2,776.0,21,0,36.95238095238095,12,0.047619047619047616,Store,Wines,High
6182,1984,Graduation,Married,26646.0,1,0,2014-02-10,26,11.0,4.0,20.0,10.0,3.0,5.0,2,2,0,4,6,0,0,0,0,0,0,3,11,0,2014,2,40,30,140,1,3,53.0,8,0,6.625,8,0.25,Store,Meat,Low
5324,1981,Phd,Married,58293.0,1,0,2014-01-19,94,173.0,43.0,118.0,46.0,27.0,15.0,5,5,3,6,5,0,0,0,0,0,0,3,11,0,2014,1,43,33,162,1,3,422.0,19,0,22.210526315789473,10,0.2631578947368421,Store,Wines,Medium
7446,1967,Master,Married,62513.0,0,1,2013-09-09,16,520.0,42.0,98.0,0.0,42.0,14.0,2,6,4,10,6,0,0,0,0,0,0,3,11,0,2013,9,57,47,294,1,3,716.0,22,0,32.54545454545455,12,0.09090909090909091,Store,Wines,High
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235.0,65.0,164.0,50.0,49.0,27.0,4,7,3,7,6,0,0,0,0,0,0,3,11,0,2012,11,53,43,594,1,2,590.0,21,0,28.095238095238095,13,0.19047619047619047,Web,Wines,High
6177,1985,Phd,Married,33454.0,1,0,2013-05-08,32,76.0,10.0,56.0,3.0,1.0,23.0,2,4,0,4,8,0,0,0,0,0,0,3,11,0,2013,5,39,29,418,1,3,169.0,10,0,16.9,12,0.2,Web,Wines,Medium
4855,1974,Phd,Married,30351.0,1,0,2013-06-06,19,14.0,0.0,24.0,3.0,3.0,2.0,1,3,0,2,9,0,0,0,0,0,0,3,11,1,2013,6,50,40,389,1,3,46.0,6,1,7.666666666666667,12,0.16666666666666666,Web,Meat,Low
5899,1950,Phd,Married,5648.0,1,1,2014-03-13,68,28.0,0.0,6.0,1.0,1.0,13.0,1,1,0,0,20,1,0,0,0,0,0,3,11,0,2014,3,74,64,109,2,4,49.0,2,1,24.5,21,0.5,Web,Wines,Low
